~	〜
cm	ばん
pm	つぁん
vm	だん
im	ふぁん
am	がん
sm	はん
dm	かん
wm	まん
em	なん
qm	ぱん
rm	らん
fm	さん
gm	たん
xm	わん
tm	やん
zm	ざん
o,	おく
c,	ぼく
v,	どく
a,	ごく
s,	ほく
d,	こく
w,	もく
q,	ぽく
r,	ろく
f,	そく
g,	とく
t,	よく
z,	ぞく
o.	よく
a.	ぎょく
s.	ひょく
d.	きょく
q.	ぴょく
r.	りょく
f.	しょく
g.	ちょく
z.	じょく
